epID,sentiment
101,225
102,164
103,208
104,283
105,302
106,223
107,275
108,241
109,261
110,245
201,361
202,350
203,264
204,296
205,358
206,323
207,364
208,280
209,253
210,341
301,330
302,323
303,313
304,240
305,319
306,267
307,371
308,293
309,269
310,303
401,312
402,307
403,364
404,248
405,252
406,272
407,258
408,237
409,143
410,192
501,251
502,260
503,316
504,212
505,241
506,223
507,246
508,232
509,234
510,117
601,127
602,168
603,238
604,268
605,275
606,215
607,241
608,272
609,186
610,243
